[2026-07-14 15:08:28] | File: Live_Stream | Stage: Kimodo_Inference | Duration: 4.858s
[2026-07-14 15:08:37] | File: Live_Stream | Stage: Kimodo_OSC_Stream | Duration: 9.035s
[2026-07-14 15:11:10] | File: Live_Stream | Stage: Kimodo_Inference | Duration: 4.516s
[2026-07-14 15:11:19] | File: Live_Stream | Stage: Kimodo_OSC_Stream | Duration: 9.038s
[2026-07-14 15:11:58] | File: Live_Stream | Stage: Kimodo_Inference | Duration: 4.564s
[2026-07-14 15:12:07] | File: Live_Stream | Stage: Kimodo_OSC_Stream | Duration: 9.035s
[2026-07-14 15:22:34] | File: Live_Stream | Stage: Kimodo_Inference | Duration: 3.888s
[2026-07-14 15:22:43] | File: Live_Stream | Stage: Kimodo_OSC_Stream | Duration: 9.036s
[2026-07-14 15:27:34] | File: Live_Stream | Stage: Kimodo_Inference | Duration: 6.441s
[2026-07-14 15:27:43] | File: Live_Stream | Stage: Kimodo_OSC_Stream | Duration: 9.037s
[2026-07-14 15:32:44] | File: Live_Stream | Stage: Kimodo_Inference | Duration: 4.188s
[2026-07-14 15:32:53] | File: Live_Stream | Stage: Kimodo_OSC_Stream | Duration: 9.036s
[2026-07-14 15:36:24] | File: Live_Stream | Stage: Kimodo_Inference | Duration: 5.185s
[2026-07-14 15:36:33] | File: Live_Stream | Stage: Kimodo_OSC_Stream | Duration: 9.037s
[2026-07-14 15:37:02] | File: Live_Stream | Stage: Kimodo_Inference | Duration: 5.109s
[2026-07-14 15:37:11] | File: Live_Stream | Stage: Kimodo_OSC_Stream | Duration: 9.035s
[2026-07-14 15:42:22] | File: Live_Stream | Stage: Kimodo_Inference | Duration: 7.656s
[2026-07-14 15:42:31] | File: Live_Stream | Stage: Kimodo_OSC_Stream | Duration: 9.037s
[2026-07-14 15:43:01] | File: Live_Stream | Stage: Kimodo_Inference | Duration: 5.646s
[2026-07-14 15:43:10] | File: Live_Stream | Stage: Kimodo_OSC_Stream | Duration: 9.036s
[2026-07-14 15:49:03] | File: Live_Stream | Stage: Kimodo_Inference | Duration: 8.230s
[2026-07-14 15:49:12] | File: Live_Stream | Stage: Kimodo_OSC_Stream | Duration: 9.037s
[2026-07-14 15:50:13] | File: Live_Stream | Stage: Kimodo_Inference | Duration: 8.874s
[2026-07-14 15:50:22] | File: Live_Stream | Stage: Kimodo_OSC_Stream | Duration: 9.037s
[2026-07-14 15:56:46] | File: Live_Stream | Stage: Kimodo_Inference | Duration: 5.662s
[2026-07-14 15:56:55] | File: Live_Stream | Stage: Kimodo_OSC_Stream | Duration: 9.036s
[2026-07-14 15:58:33] | File: Live_Stream | Stage: Kimodo_Inference | Duration: 5.498s
[2026-07-14 15:58:42] | File: Live_Stream | Stage: Kimodo_OSC_Stream | Duration: 9.042s
[2026-07-14 15:59:01] | File: Live_Stream | Stage: Kimodo_Inference | Duration: 6.686s
[2026-07-14 15:59:10] | File: Live_Stream | Stage: Kimodo_OSC_Stream | Duration: 9.036s
[2026-07-14 15:59:30] | File: Live_Stream | Stage: Kimodo_Inference | Duration: 5.907s
